"id","catalog"
"17497","hipparcos"
"17499","hipparcos"
"17503","hipparcos"
"17505","hipparcos"
"17511","hipparcos"
"17531","hipparcos"
"17552","hipparcos"
"17572","hipparcos"
"17573","hipparcos"
"17586","hipparcos"
"17589","hipparcos"
"17607","hipparcos"
"17608","hipparcos"
"17610","hipparcos"
"17614","hipparcos"
"17657","hipparcos"
"17684","hipparcos"
"17692","hipparcos"
"17694","hipparcos"
"17702","hipparcos"
"17704","hipparcos"
"17708","hipparcos"
"17714","hipparcos"
"17726","hipparcos"
"17740","hipparcos"
"17746","hipparcos"
"17763","hipparcos"
"17776","hipparcos"
"17791","hipparcos"
"17794","hipparcos"
"17803","hipparcos"
"17804","hipparcos"
"17828","hipparcos"
"17830","hipparcos"
"17832","hipparcos"
"17836","hipparcos"
"17837","hipparcos"
"17847","hipparcos"
"17851","hipparcos"
"17862","hipparcos"
"17864","hipparcos"
"17892","hipparcos"
"17900","hipparcos"
"17909","hipparcos"
"17920","hipparcos"
"17921","hipparcos"
"17923","hipparcos"
"17928","hipparcos"
"17944","hipparcos"
"17960","hipparcos"
"17961","hipparcos"
"17962","hipparcos"
"17983","hipparcos"
"17999","hipparcos"
"18018","hipparcos"
"18025","hipparcos"
"18059","hipparcos"
"18091","hipparcos"
"18096","hipparcos"
"18097","hipparcos"
"18110","hipparcos"
"18116","hipparcos"
"18158","hipparcos"
"18165","hipparcos"
"18176","hipparcos"
"18181","hipparcos"
"18222","hipparcos"
"18227","hipparcos"
"18228","hipparcos"
"18244","hipparcos"
"18263","hipparcos"
"18266","hipparcos"
"18267","hipparcos"
"18274","hipparcos"
"18283","hipparcos"
"18296","hipparcos"
"18304","hipparcos"
"18326","hipparcos"
"18327","hipparcos"
"18346","hipparcos"
"18347","hipparcos"
"18354","hipparcos"
"18405","hipparcos"
"18409","hipparcos"
"18431","hipparcos"
"18433","hipparcos"
"18459","hipparcos"
"18471","hipparcos"
"18473","hipparcos"
"18474","hipparcos"
"18485","hipparcos"
"18490","hipparcos"
"18502","hipparcos"
"18506","hipparcos"
"18508","hipparcos"
"18531","hipparcos"
"18542","hipparcos"
"18544","hipparcos"
"18551","hipparcos"
"18559","hipparcos"
"18576","hipparcos"
"18595","hipparcos"
"18609","hipparcos"
"18620","hipparcos"
"18625","hipparcos"
"18626","hipparcos"
"18634","hipparcos"
"18643","hipparcos"
"18684","hipparcos"
"18692","hipparcos"
"18696","hipparcos"
"18717","hipparcos"
"18718","hipparcos"
"18719","hipparcos"
"18721","hipparcos"
"18730","hipparcos"
"18735","hipparcos"
"18748","hipparcos"
"18754","hipparcos"
"18762","hipparcos"
"18784","hipparcos"
"18787","hipparcos"
"18792","hipparcos"
"18803","hipparcos"
"18806","hipparcos"
"18820","hipparcos"
"18823","hipparcos"
"18833","hipparcos"
"18843","hipparcos"
"18849","hipparcos"
"18864","hipparcos"
"18902","hipparcos"
"18909","hipparcos"
"18946","hipparcos"
"18955","hipparcos"
"18976","hipparcos"
"18995","hipparcos"
"18998","hipparcos"
"19002","hipparcos"
"19009","hipparcos"
"19032","hipparcos"
"19036","hipparcos"
"19038","hipparcos"
"19054","hipparcos"
"19072","hipparcos"
"19075","hipparcos"
"19076","hipparcos"
"19078","hipparcos"
"19082","hipparcos"
"19085","hipparcos"
"19093","hipparcos"
"19098","hipparcos"
"19120","hipparcos"
"19146","hipparcos"
"19148","hipparcos"
"19157","hipparcos"
"19163","hipparcos"
"19175","hipparcos"
"19176","hipparcos"
"19187","hipparcos"
"19207","hipparcos"
"19216","hipparcos"
"19262","hipparcos"
"19263","hipparcos"
"19281","hipparcos"
"19284","hipparcos"
"19299","hipparcos"
"19308","hipparcos"
"19358","hipparcos"
"19361","hipparcos"
"19363","hipparcos"
"19367","hipparcos"
"19376","hipparcos"
"19388","hipparcos"
"19401","hipparcos"
"19403","hipparcos"
"19417","hipparcos"
"19420","hipparcos"
"19436","hipparcos"
"19451","hipparcos"
"19459","hipparcos"
"19464","hipparcos"
"19470","hipparcos"
"19472","hipparcos"
"19484","hipparcos"
"19499","hipparcos"
"19519","hipparcos"
"19526","hipparcos"
"19529","hipparcos"
"19542","hipparcos"
"19548","hipparcos"
"19549","hipparcos"
"19558","hipparcos"
"19586","hipparcos"
"19591","hipparcos"
"19615","hipparcos"
"19616","hipparcos"
"19617","hipparcos"
"19634","hipparcos"
"19641","hipparcos"
"19651","hipparcos"
"19662","hipparcos"
"19665","hipparcos"
"19669","hipparcos"
"19672","hipparcos"
"19696","hipparcos"
"19702","hipparcos"
"19745","hipparcos"
"19763","hipparcos"
"19772","hipparcos"
"19785","hipparcos"
"19789","hipparcos"
"19793","hipparcos"
"19797","hipparcos"
"19822","hipparcos"
"19829","hipparcos"
"19834","hipparcos"
"19847","hipparcos"
"19853","hipparcos"
"19862","hipparcos"
"19870","hipparcos"
"19960","hipparcos"
"19975","hipparcos"
"19981","hipparcos"
"19990","hipparcos"
"19997","hipparcos"
"20011","hipparcos"
"20012","hipparcos"
"20018","hipparcos"
"20019","hipparcos"
"20025","hipparcos"
"20038","hipparcos"
"20041","hipparcos"
"20056","hipparcos"
"20071","hipparcos"
"20084","hipparcos"
"20086","hipparcos"
"20087","hipparcos"
"20130","hipparcos"
"20136","hipparcos"
"20139","hipparcos"
"20146","hipparcos"
"20150","hipparcos"
"20171","hipparcos"
"20175","hipparcos"
"20181","hipparcos"
"20182","hipparcos"
"20186","hipparcos"
"20197","hipparcos"
"20209","hipparcos"
"20219","hipparcos"
"20226","hipparcos"
"20237","hipparcos"
"20255","hipparcos"
"20261","hipparcos"
"20270","hipparcos"
"20278","hipparcos"
"20284","hipparcos"
"20290","hipparcos"
"20336","hipparcos"
"20352","hipparcos"
"20369","hipparcos"
"20371","hipparcos"
"20389","hipparcos"
"20390","hipparcos"
"20391","hipparcos"
"20400","hipparcos"
"20412","hipparcos"
"20417","hipparcos"
"20440","hipparcos"
"20482","hipparcos"
"20484","hipparcos"
"20485","hipparcos"
"20493","hipparcos"
"20508","hipparcos"
"20513","hipparcos"
"20526","hipparcos"
"20527","hipparcos"
"20530","hipparcos"
"20531","hipparcos"
"20533","hipparcos"
"20542","hipparcos"
"20553","hipparcos"
"20563","hipparcos"
"20580","hipparcos"
"20600","hipparcos"
"20605","hipparcos"
"20614","hipparcos"
"20631","hipparcos"
"20635","hipparcos"
"20641","hipparcos"
"20644","hipparcos"
"20646","hipparcos"
"20648","hipparcos"
"20679","hipparcos"
"20680","hipparcos"
"20686","hipparcos"
"20711","hipparcos"
"20713","hipparcos"
"20719","hipparcos"
"20732","hipparcos"
"20740","hipparcos"
"20756","hipparcos"
"20769","hipparcos"
"20774","hipparcos"
"20780","hipparcos"
"20782","hipparcos"
"20785","hipparcos"
"20789","hipparcos"
"20810","hipparcos"
"20827","hipparcos"
"20834","hipparcos"
"20842","hipparcos"
"20850","hipparcos"
"20859","hipparcos"
"20866","hipparcos"
"20873","hipparcos"
"20877","hipparcos"
"20890","hipparcos"
"20894","hipparcos"
"20897","hipparcos"
"20898","hipparcos"
"20917","hipparcos"
"20952","hipparcos"
"20971","hipparcos"
"20978","hipparcos"
"20994","hipparcos"
"20995","hipparcos"
"21013","hipparcos"
"21019","hipparcos"
"21029","hipparcos"
"21036","hipparcos"
"21039","hipparcos"
"21082","hipparcos"
"21089","hipparcos"
"21090","hipparcos"
"21094","hipparcos"
"21099","hipparcos"
"21112","hipparcos"
"21115","hipparcos"
"21120","hipparcos"
"21123","hipparcos"
"21132","hipparcos"
"21137","hipparcos"
"21138","hipparcos"
"21158","hipparcos"
"21173","hipparcos"
"21240","hipparcos"
"21246","hipparcos"
"21251","hipparcos"
"21256","hipparcos"
"21257","hipparcos"
"21261","hipparcos"
"21273","hipparcos"
"21280","hipparcos"
"21314","hipparcos"
"21318","hipparcos"
"21332","hipparcos"
"21341","hipparcos"
"21347","hipparcos"
"21348","hipparcos"
"21350","hipparcos"
"21359","hipparcos"
"21365","hipparcos"
"21380","hipparcos"
"21399","hipparcos"
"21403","hipparcos"
"21408","hipparcos"
"21421","hipparcos"
"21436","hipparcos"
"21517","hipparcos"
"21533","hipparcos"
"21554","hipparcos"
"21932","hipparcos"
