"catalog","id_hipparcos","id_tycho"
"hipparcos","13589","102070"
"hipparcos","13600","101875"
"hipparcos","13601",NA
"hipparcos","13631",NA
"hipparcos","13674","51974"
"hipparcos","13679","52007"
"hipparcos","13702",NA
"hipparcos","13748","52164"
"hipparcos","13976",NA
"hipparcos","13982","52191"
"hipparcos","14023",NA
"hipparcos","14054",NA
"hipparcos","14098","101683"
"hipparcos","14132","101926"
"hipparcos","14152","102117"
"hipparcos","14175","52153"
"hipparcos","14230","151401"
"hipparcos","14258",NA
"hipparcos","14261",NA
"hipparcos","14614",NA
"hipparcos","14705",NA
"hipparcos","14721","101969"
"hipparcos","14729",NA
"hipparcos","14731",NA
"hipparcos","14803",NA
"hipparcos","14807","102139"
"hipparcos","14809","102122"
"hipparcos","14838","101971"
"hipparcos","14992",NA
"hipparcos","15020",NA
"hipparcos","15062",NA
"hipparcos","15074",NA
"hipparcos","15099",NA
"hipparcos","15109","102186"
"hipparcos","15134","102177"
"hipparcos","15206","52621"
"hipparcos","15249",NA
"hipparcos","15253",NA
"hipparcos","15278","151499"
"hipparcos","15304","52478"
"hipparcos","15362","4345"
"hipparcos","15374",NA
"hipparcos","15394",NA
"hipparcos","15401",NA
"hipparcos","15453",NA
"hipparcos","15563",NA
"hipparcos","15565","52611"
"hipparcos","15572",NA
"hipparcos","15662",NA
"hipparcos","15683",NA
"hipparcos","15724","102386"
"hipparcos","15844",NA
"hipparcos","15904",NA
"hipparcos","15961",NA
"hipparcos","16072",NA
"hipparcos","16144",NA
"hipparcos","16329","102641"
"hipparcos","16374","102625"
"hipparcos","16445",NA
"hipparcos","16529","152212"
"hipparcos","16548",NA
"hipparcos","16560",NA
"hipparcos","16641",NA
"hipparcos","16760",NA
"hipparcos","16824","152176"
"hipparcos","16896","102475"
"hipparcos","16908","102854"
"hipparcos","17076",NA
"hipparcos","17207",NA
"hipparcos","17305","152252"
"hipparcos","17332",NA
"hipparcos","17405",NA
"hipparcos","17408","102668"
"hipparcos","17414",NA
"hipparcos","17472",NA
"hipparcos","17496",NA
"hipparcos","17766",NA
"hipparcos","17794","102869"
"hipparcos","17803",NA
"hipparcos","17928","152278"
"hipparcos","17936",NA
"hipparcos","17960",NA
"hipparcos","17962","103023"
"hipparcos","18018","152315"
"hipparcos","18097",NA
"hipparcos","18253",NA
"hipparcos","18267",NA
"hipparcos","18322","53165"
"hipparcos","18327","103076"
"hipparcos","18347",NA
"hipparcos","18433",NA
"hipparcos","18471","103399"
"hipparcos","18531","153179"
"hipparcos","18609","103058"
"hipparcos","18700","53174"
"hipparcos","18719","103245"
"hipparcos","18735","103115"
"hipparcos","18893","52986"
"hipparcos","18946","103257"
"hipparcos","18975","53039"
"hipparcos","19038","103435"
"hipparcos","19076",NA
"hipparcos","19082",NA
"hipparcos","19098","103094"
"hipparcos","19117",NA
"hipparcos","19148","102979"
"hipparcos","19207","102942"
"hipparcos","19263","102966"
"hipparcos","19316",NA
"hipparcos","19325",NA
"hipparcos","19388","103295"
"hipparcos","19441","53394"
"hipparcos","19472",NA
"hipparcos","19481","53690"
"hipparcos","19591","153250"
"hipparcos","19696","102992"
"hipparcos","19757",NA
"hipparcos","19767",NA
"hipparcos","19786","53725"
"hipparcos","19789","103461"
"hipparcos","19793","153260"
"hipparcos","19797",NA
"hipparcos","19808","53720"
"hipparcos","19834",NA
"hipparcos","19855","5499"
"hipparcos","19859","5526"
"hipparcos","19862",NA
"hipparcos","19870","103465"
"hipparcos","19912",NA
"hipparcos","19961",NA
"hipparcos","19971","5308"
"hipparcos","19981","153303"
"hipparcos","19990","103859"
"hipparcos","20012",NA
"hipparcos","20019","103632"
"hipparcos","20056","103639"
"hipparcos","20086","103652"
"hipparcos","20087","104080"
"hipparcos","20130","103823"
"hipparcos","20146","103641"
"hipparcos","20187","53727"
"hipparcos","20197",NA
"hipparcos","20219","53867"
"hipparcos","20237","103827"
"hipparcos","20255","103661"
"hipparcos","20261","103500"
"hipparcos","20284","53869"
"hipparcos","20319",NA
"hipparcos","20400","53913"
"hipparcos","20410",NA
"hipparcos","20419","53767"
"hipparcos","20440","103488"
"hipparcos","20482","103853"
"hipparcos","20484","103498"
"hipparcos","20485","103494"
"hipparcos","20527","53905"
"hipparcos","20542","103709"
"hipparcos","20553","53874"
"hipparcos","20563","103708"
"hipparcos","20605",NA
"hipparcos","20614","103896"
"hipparcos","20635","104124"
"hipparcos","20641","104125"
"hipparcos","20648","103711"
"hipparcos","20679",NA
"hipparcos","20686","103868"
"hipparcos","20711","153354"
"hipparcos","20713","103551"
"hipparcos","20719","103506"
"hipparcos","20745","53756"
"hipparcos","20751","53618"
"hipparcos","20762","53896"
"hipparcos","20769","103862"
"hipparcos","20769","103897"
"hipparcos","20826","53744"
"hipparcos","20827","53872"
"hipparcos","20834",NA
"hipparcos","20842","104126"
"hipparcos","20850","53888"
"hipparcos","20873","53941"
"hipparcos","20890","103888"
"hipparcos","20894","103547"
"hipparcos","20901","53805"
"hipparcos","20917","104090"
"hipparcos","20952","53935"
"hipparcos","20978","103536"
"hipparcos","20995","103550"
"hipparcos","21000",NA
"hipparcos","21029","103544"
"hipparcos","21036","53942"
"hipparcos","21039","103549"
