"","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","B-V"
"13510",-1.80452411731613,-1.53466362919777,0.0423800361657607,-0.259018033191106,0.33322904799292,2.14630388932452,-0.120453104552235
"13526",-1.80071884957194,-1.43723816041829,-0.0857601415148386,-0.508441832845192,0.275334848908409,-0.470146711017979,-1.04604851748957
"13530",-1.79990215434352,-0.0923611184982974,0.0413867014550584,-0.573241145262034,-1.35205865184903,0.266975158621658,0.422736691772494
"13532",-1.79918363302414,1.08236955979578,-0.239727021673698,-0.42623774643209,0.312226856439589,-0.808824326798353,1.35919590063633
"13533",-1.79906179743941,0.259085752786523,-0.0966868233325641,0.830654701851625,-0.0294732732405901,0.1540826200282,-0.47026733338536
"13538",-1.79817352931621,-0.420593341254351,-0.291380426630219,-0.0181627376582549,0.274782159657006,0.0279086063061003,-0.813563284662589
"13539",-1.79813752241843,-1.00989082592756,-0.546667447280715,-0.00236455818472722,0.249634798718149,-0.596320724740079,-1.28505202787245
"13543",-1.79687081445121,-0.67011168128838,0.0513200485620816,-0.0185643862889379,0.339861319009761,0.838078589153268,-0.107416549440442
"13544",-1.79671767491045,-0.669369966026095,-0.203966972088415,-0.0593986637417002,0.50014120191676,1.56855972122858,-0.022678941213784
"13547",-1.79613362833176,1.61517133335703,-0.436407294392758,-0.791871883230431,0.190635221130831,0.59901203683771,-0.398566280270496
"13557",-1.79305305451801,-0.155974243534734,-0.397667240675367,-0.569090776078311,0.182621226985481,0.120878932206594,-0.665815660062263
"13571",-1.78929922519923,1.05107203347442,-0.454287319185399,0.17677073109985,0.333643564931472,-0.91507612782749,1.25273070055668
"13579",-1.78765797201163,0.622684056882995,0.156613527896528,0.295658725781991,0.0682145519449686,-0.881872440005884,-0.770108100956611
"13586",-1.78575982063091,-0.391055115473025,-0.371840538197107,-0.396515747761555,-0.247094665980696,0.492760235808573,-0.194326916852398
"13589",-1.7846892400314,1.24950392295861,0.712880965889827,1.65791699818152,-0.962136384983901,0.213849258107089,0.055540389456977
"13593",-1.7836869990542,-1.69077228457378,0.279787032023615,0.111971418683007,0.263175685377533,-0.948279815649095,-0.707098084582942
